source_acct,tweet_date,tweet_text,vader_compound,vader_negative,vader_neutral,vader_positive
BBC,2018-07-22 11:02:05+00:00,"The teenage activist helping families find low-cost healthy food. 
(via@BBCThree) https://t.co/aM3Esv544f",0.5994,0.0,0.647,0.353
BBC,2018-07-22 10:04:05+00:00,💕✍️ A story penned by a 10-year-old girl with autism has attracted praise from academics and others with the condit… https://t.co/oFp5UI36Ex,0.7506,0.0,0.726,0.274
BBC,2018-07-22 08:19:58+00:00,RT @BBCNewsbeat: Say hello to @NicoleAMaines who will play TV's first ever transgender superhero. https://t.co/QIIPLjRZBo https://t.co/FhUr…,0.34,0.0,0.862,0.138
BBC,2018-07-22 08:03:01+00:00,"🍞 Prehistoric bake-off: Scientists have discovered the earliest known evidence of bread-making, from a 14,000-year-… https://t.co/rt2YVZY1zW",0.0,0.0,1.0,0.0
BBC,2018-07-22 07:03:00+00:00,"Do you have a reusable water bottle?
#PlasticsAction https://t.co/XTlzV0IEGB",0.0,0.0,1.0,0.0
BBC,2018-07-21 20:21:08+00:00,"🎬🍿 A business trip leads to a chance encounter...

Pretty Woman | 10:20pm | @BBCOne | https://t.co/vCrrzh7bN7 https://t.co/KS0CZCwcDx",0.6369,0.0,0.679,0.321
BBC,2018-07-21 19:31:05+00:00,"The ruins of a Cumbrian village have been exposed by the UK drought. 🌡

https://t.co/zCaOtOFM74",-0.4939,0.259,0.741,0.0
BBC,2018-07-21 18:02:06+00:00,"😂 @RomeshRanga really REALLY can't stand Gogglebox. #LiveAtTheApollo

https://t.co/IMrhnETAg7",0.4404,0.114,0.659,0.228
BBC,2018-07-21 17:05:05+00:00,"How being drawn naked helped these women reclaim their bodies. 
(via @BBCThree) https://t.co/h22GymBo6O",0.0,0.0,1.0,0.0
BBC,2018-07-21 16:04:04+00:00,Was the 😊the first emoticon? https://t.co/3eZwRPDqbJ,0.0,0.0,1.0,0.0
BBC,2018-07-21 15:04:19+00:00,RT @BBCR1: From @ShawnMendes and @NiallOfficial to @DUALIPA and @ArianaGrande; 10 massive pop collabs we NEED to hear right now 👉 https://t…,0.0,0.0,1.0,0.0
BBC,2018-07-21 15:04:02+00:00,👰🎊🤵 @reallorraine and @robbeckettcomic host as two couples play for dream prizes and a chance to get married in fro… https://t.co/JOaddKsXdr,0.8126,0.0,0.63,0.37
BBC,2018-07-21 14:03:06+00:00,A huge iceberg is looming over a village in Greenland. https://t.co/sDLtIq41Fj,0.2023,0.139,0.648,0.213
BBC,2018-07-21 13:03:08+00:00,"Would you consider becoming a hedgehog foster parent? 🦔 💕

https://t.co/qTzxBdTy1B",0.0,0.0,1.0,0.0
BBC,2018-07-21 12:03:05+00:00,"Maths, science, history and... death? 🎒📚🤔

Death could be added to the school timetable in Australia. 👉… https://t.co/l6jEPAaK64",-0.8316,0.328,0.672,0.0
BBC,2018-07-21 11:16:04+00:00,"🏃🏃‍♀️ @GabbyLogan presents live coverage from the first day of the #AnniversaryGames at the London Stadium.

Athlet… https://t.co/KD8QAeSMnA",0.0,0.0,1.0,0.0
BBC,2018-07-21 10:10:07+00:00,🏃This 88-year-old runner has celebrated his 200th Parkrun in Manchester. https://t.co/9yG6L3bCye,0.5719,0.0,0.73,0.27
BBC,2018-07-21 09:03:03+00:00,"Amazing innovation 💡
A family in France has become the first to move in to a 3D-printed house. https://t.co/FYDtNW19PL",0.7506,0.0,0.714,0.286
BBC,2018-07-21 09:02:04+00:00,🇱🇰 The Sri Lankan schoolgirl turned inventor trying to save the planet one lunchbox at a time. https://t.co/RZlJolph79,0.4939,0.0,0.842,0.158
BBC,2018-07-21 08:32:20+00:00,RT @bbcweather: In Pictures: The dramatic effect of the UK heatwave https://t.co/xmdTbUlpTy Jo https://t.co/mKIjUw8Yhs,0.0,0.0,1.0,0.0
BBC,2018-07-21 08:03:05+00:00,"""I was training and missed it. I cried.""  ❤️️

@serenawilliams has opened up about missing her baby's first steps.… https://t.co/h7B11Zrvxy",-0.5267,0.206,0.794,0.0
BBC,2018-07-21 07:03:03+00:00,"Should we be allowed to modify human DNA in future children? 🔬

An inquiry has found editing human embryos 'morally… https://t.co/ym7J8WiOLt",0.0,0.0,1.0,0.0
BBC,2018-07-20 19:02:04+00:00,From honeymoon horror to a dine and dash: this is what happens when holiday romances go wrong. 🏝😳💔… https://t.co/o0skuAQ21P,-0.4215,0.264,0.543,0.194
BBC,2018-07-20 18:03:08+00:00,🏥🎶 Every member of this choir is here on doctor's orders. https://t.co/5GLpzwPzwU,0.0,0.0,1.0,0.0
BBC,2018-07-20 17:02:06+00:00,"📺 @louistheroux dives into the BBC Archives and selects his favourite documentaries.

Louis Theroux: Docs That Made… https://t.co/Hun3M35ZEQ",0.0,0.0,1.0,0.0
BBC,2018-07-20 15:59:00+00:00,Actual footage of me leaving work for the weekend and not looking back... 👋 #FridayFeeling https://t.co/Ppg3Qk7fj3,0.4939,0.0,0.833,0.167
BBC,2018-07-20 14:56:18+00:00,"RT @BBCBreaking: Several people wounded in knife attack on bus in northern German city of Luebeck, reports say https://t.co/SS7enQBT3h",-0.4767,0.147,0.853,0.0
BBC,2018-07-20 14:53:06+00:00,"RT @BBCWomansHour: It's not easy, it can be uncomfortable &amp; nerve racking...📣 so why speak out? @charlottechurch tells us what drives her t…",-0.6131,0.192,0.808,0.0
BBC,2018-07-20 14:52:46+00:00,RT @BBCWomansHour: What does @KatiePrice have to say to her critics? She tells us what pushes her to keep going even when she feels under a…,-0.296,0.081,0.919,0.0
BBC,2018-07-20 14:31:04+00:00,"A can of lager and a packet of custard creams are the secret to a long life for Eileen, a Blackpool woman celebrati… https://t.co/y5KL6atB0O",0.0,0.0,1.0,0.0
BBC,2018-07-20 13:35:41+00:00,"RT @BBCNewsround: Did you know there are 25,000 children addicted to gambling in Britain? Find out more about gambling, gaming and why it i…",0.0,0.0,1.0,0.0
BBC,2018-07-20 13:33:22+00:00,"David Attenborough wants you to get out a chair and spot some 🦋🦋🦋 

And you can't say no to such a legend...… https://t.co/PKWvebWrHz",0.2235,0.0,0.914,0.086
BBC,2018-07-20 13:03:04+00:00,"Korean is rapidly growing in popularity, in a language-learning boom driven by the popularity of the country's… https://t.co/t9EfT4am8g",0.7845,0.0,0.639,0.361
BBC,2018-07-20 13:01:24+00:00,RT @BBCArchive: #OnThisDay 1969: Mankind made one giant leap. https://t.co/Szfw85ebOP,0.0,0.0,1.0,0.0
BBC,2018-07-20 12:02:04+00:00,🐻🍞♥️ Who doesn't love a teddy bear?  https://t.co/Pxd4u1WYLa,-0.5216,0.36,0.64,0.0
BBC,2018-07-20 11:21:07+00:00,"From satirical cartoons to original Rembrandts and taxidermy geese, there’s plenty to intrigue art lovers this summ… https://t.co/9YDofEBDLI",0.6908,0.0,0.737,0.263
BBC,2018-07-20 10:48:43+00:00,"RT @BBCEngland: 🦋 If Sir David Attenborough wants us to count butterflies, we'll count butterflies... 🦋

#butterflycount

https://t.co/wlWn…",0.0,0.0,1.0,0.0
BBC,2018-07-20 10:44:50+00:00,😍🐾 The 150th anniversary of the founding of the golden retriever has been celebrated at the breed's ancestral home… https://t.co/MP2ijSzMFg,0.5719,0.0,0.837,0.163
BBC,2018-07-20 09:11:11+00:00,👀 First look at brand new #DoctorWho https://t.co/V9UpeFtwMa,0.0,0.0,1.0,0.0
BBC,2018-07-20 08:01:07+00:00,🔥 Fashion icon? https://t.co/8qdFXbOxmE,-0.34,0.444,0.556,0.0
BBC,2018-07-20 07:25:07+00:00,⚡️🚙 Half of young people in the UK would like to own an electric car – compared with just a quarter of their parent… https://t.co/wccWjtuyky,0.3612,0.0,0.898,0.102
BBC,2018-07-20 07:02:03+00:00,🌳 These curious 'animals' have been popping up in one London neighbourhood. https://t.co/EaVZ5RovIq,0.3182,0.0,0.85,0.15
BBC,2018-07-19 19:01:04+00:00,"When walking alone at night, it's not as simple as ""be safe"". https://t.co/OcJyZ4Q0fQ",-0.25,0.143,0.857,0.0
BBC,2018-07-19 18:57:05+00:00,⚡️💡 These brothers from Ghana are using cassavas to generate electricity. https://t.co/CtNj20Hf14,0.0,0.0,1.0,0.0
BBC,2018-07-19 18:02:42+00:00,"⛳️🏌 Highlights on the first round of the 147th Open Championship from Carnoustie. ️

Golf: #TheOpen - Day One Highl… https://t.co/zdLWmnm28x",0.4404,0.0,0.861,0.139
BBC,2018-07-19 17:29:06+00:00,The catwalk show with a mission to prove everyone is beautiful. https://t.co/sGAR4YzNZT,0.5994,0.0,0.719,0.281
BBC,2018-07-19 17:02:04+00:00,Visit the RHS Flower Show at @tatton_park in Cheshire as it celebrates its 20th birthday with a festival of flowers… https://t.co/oGBZVyKFut,0.7845,0.0,0.723,0.277
BBC,2018-07-19 15:57:06+00:00,🇬🇧 Do you know your Britishisms? https://t.co/mdPdlfb3jE,0.4215,0.0,0.714,0.286
BBC,2018-07-19 15:11:33+00:00,RT @BBC_ARoadshow: Happy 90th Birthday Henry - you certainly had a smashing time with #FionaBruce ...! #antiquesroadshow https://t.co/tgqqX…,0.75,0.0,0.687,0.313
BBC,2018-07-19 14:51:09+00:00,"RT @BBCEarth: This is happening right now! 

@parleyxxx are a group fighting against plastic pollution. A team is currently in Dominican Re…",-0.4199,0.128,0.872,0.0
BBC,2018-07-19 14:29:39+00:00,"Upmarket British fashion label Burberry destroyed unsold clothes, accessories and perfume worth £28.6m last year to… https://t.co/ngZUdI2Iem",-0.3182,0.159,0.746,0.095
BBC,2018-07-19 14:01:05+00:00,This new Juventus kit is made entirely from recycled ocean plastic. ♻️🌊️⚽️ https://t.co/m0uU5O0Xyx https://t.co/K84NwxQvsQ,0.0,0.0,1.0,0.0
BBC,2018-07-19 13:21:41+00:00,RT @cbbc: Never before seen footage of @geesteelx before #LoveIsland proves she's always been loyal babes ��😂�� https://t.co/jk3tUVysNh,0.4767,0.0,0.846,0.154
BBC,2018-07-19 13:07:03+00:00,RT @BBCWales: The @RoyalWelshShow is the biggest agricultural show in Europe. Here's what that looks like in numbers... https://t.co/roaSSM…,0.3612,0.0,0.878,0.122
BBC,2018-07-19 13:01:15+00:00,RT @bbcthree: #OneHotSummer2018 has arrived! Our brand-new series follows different groups of friends on a month-long trip through Spain. h…,0.5255,0.0,0.841,0.159
BBC,2018-07-19 12:51:41+00:00,"RT @BBCNews: Meet the first black winner of Miss Universe GB 👸🏾

https://t.co/sIsxBN8mIB #MUGB https://t.co/aZ86xey66e",0.4939,0.075,0.748,0.178
BBC,2018-07-19 12:00:29+00:00,"When male macaques fall out, they have an interesting way of apologising...
#AnimalsBehavingBadly https://t.co/eNiQRvW2Lr",0.4019,0.0,0.828,0.172
BBC,2018-07-19 11:01:03+00:00,🏝🐀 Scientists studying reefs on tropical islands say that rats directly threaten the survival of these ecosystems.… https://t.co/4ccOkWmKnB,-0.3818,0.133,0.867,0.0
BBC,2018-07-19 10:31:03+00:00,Swimmers in Cornwall are being urged to stay out of the water after a 9ft blue shark was spotted in a harbour. 🦈… https://t.co/cywSw7ygVt,0.0,0.0,1.0,0.0
BBC,2018-07-19 09:34:09+00:00,"RT @bbcpress: 👞🎫🖊 Shoehorns, bus tickets and smelly gel pens... How much does @JoeLycett know about #Obsessions? New series starts tonight…",0.0,0.0,1.0,0.0
BBC,2018-07-19 08:52:10+00:00,"Teenage pregnancy 👶
Drinking 🍺
Smoking 🚬

How 'Generation Sensible' differs from previous generations of teenagers.… https://t.co/eP55PLNl5V",0.0,0.0,1.0,0.0
BBC,2018-07-19 08:01:00+00:00,"🌍🌕 If half the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/3DkkUwuXuh",0.4939,0.0,0.878,0.122
BBC,2018-07-19 07:25:02+00:00,"Most people do what authority figures tell them to – even when they disagree. 

🧠 The reason, it turns out, is hidd… https://t.co/qVwGffaIlJ",-0.3182,0.109,0.837,0.054
BBC,2018-07-19 07:00:11+00:00,👶👶 Welcome to the town with hundreds of twins! https://t.co/hLVexzGe6n,0.5093,0.0,0.732,0.268
BBC,2018-07-18 19:56:03+00:00,"🥓✈️ A plane passenger who flew into a rage after being denied a bacon roll by cabin crew has been fined £230.
👉… https://t.co/KT6mKvPMbx",-0.7579,0.255,0.745,0.0
BBC,2018-07-18 18:02:07+00:00,"🙈🙉🙊 @lizbonnin meets the animals using outlandish means to find a mate and raise a family, and reveals the fascinat… https://t.co/NIsJLjlJXi",0.0,0.0,1.0,0.0
BBC,2018-07-18 17:02:01+00:00,A US company owner gave a new employee a car after he went the extra 20 miles and walked all night to make his firs… https://t.co/kHTdIvC7Yz,0.0,0.0,1.0,0.0
BBC,2018-07-18 16:00:26+00:00,This Nigerian entrepreneur is turning old tyres into furniture. https://t.co/MO11yPi5NJ,0.0,0.0,1.0,0.0
BBC,2018-07-18 14:37:12+00:00,"RT @BBCSpringwatch: Robin making the most of a small garden pond, an adorable reminder to leave out water for our wildlife 😍 #WednesdayWisd…",0.7184,0.041,0.748,0.211
BBC,2018-07-18 14:00:12+00:00,"🎩📚 Jane Austen died 201 years ago today but continues to inspire new generations, like period tailor @ZackPinsent. https://t.co/jE8XKA0oPT",0.7906,0.086,0.602,0.312
BBC,2018-07-18 13:03:04+00:00,A plasterer who scooped £1m on the Lottery after claiming his ticket at the last minute has thanked a shopper who l… https://t.co/rhzxi3lQRG,0.4404,0.0,0.873,0.127
BBC,2018-07-18 12:03:02+00:00,💁💡 Chloe has woken up the fashion world with her brilliant idea for a wheelchair friendly jumpsuit. https://t.co/ddYHnVQlSD,0.7906,0.0,0.682,0.318
BBC,2018-07-18 11:00:16+00:00,"The Thai cave rescue story and four other seriously heroic tales.

Turns out people are braver in real life than th… https://t.co/utyRb39MKd",0.8625,0.057,0.6,0.343
BBC,2018-07-18 09:19:41+00:00,"What’s your favourite Nelson Mandela quote?
#Mandela100 #MandelaDay https://t.co/Zlgxy5m9OP",0.0,0.0,1.0,0.0
BBC,2018-07-18 08:00:19+00:00,"🥄 For some people, passing through airport security can be a life-changing moment. https://t.co/4YbqwzP0Nz",0.34,0.0,0.833,0.167
BBC,2018-07-18 07:26:04+00:00,Sex differences in dementia are only just being recognised – but the consequences could change the way we fight the… https://t.co/VLzXCxQqnw,-0.5267,0.152,0.848,0.0
BBC,2018-07-18 07:01:06+00:00,📱👀 The smartphone app helping African pupils see. https://t.co/jAtFKURZgC,0.296,0.0,0.784,0.216
BBC,2018-07-17 19:03:04+00:00,"🎬🎥🍿 @KermodeMovie reveals the film-making tricks and techniques behind classic movie genres, from romcoms to horror… https://t.co/gWdjEv0bU4",-0.128,0.086,0.914,0.0
BBC,2018-07-17 18:03:06+00:00,"Tonight, @GreggAWallace and @cherryhealey visit an enormous coffee factory where they produce 175,000 jars of insta… https://t.co/BL2Wl3nRDv",0.0,0.0,1.0,0.0
BBC,2018-07-17 17:58:03+00:00,It's time to flip the script on dyslexia. https://t.co/fUh6PnoMgK,0.0,0.0,1.0,0.0
BBC,2018-07-17 16:01:00+00:00,"🤢 Each week, the equivalent of 300 Olympic swimming pools full of raw sewage is released into the Thames.

The Five… https://t.co/PIi5TgaMkR",0.0,0.0,1.0,0.0
CBS,2018-07-22 01:56:13+00:00,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,0.128,0.0,0.927,0.073
CBS,2018-07-21 00:55:28+00:00,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,-0.296,0.109,0.891,0.0
CBS,2018-07-21 00:19:12+00:00,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,-0.296,0.109,0.891,0.0
CBS,2018-07-21 00:10:00+00:00,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",-0.7964,0.264,0.736,0.0
CBS,2018-07-20 23:44:54+00:00,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,-0.6597,0.18,0.82,0.0
CBS,2018-07-20 22:29:36+00:00,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",0.3182,0.0,0.905,0.095
CBS,2018-07-20 21:39:09+00:00,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,0.0,0.0,1.0,0.0
CBS,2018-07-20 15:08:23+00:00,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",0.0,0.0,1.0,0.0
CBS,2018-07-17 17:55:25+00:00,🤰👩‍👧🚫🍸 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:29+00:00,👨📝✔️ #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:29+00:00,👩‍💼💼🇺🇸 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:29+00:00,🕵️🕵️‍♀️ #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:29+00:00,⚓️🦅🇺🇸 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:29+00:00,🏄🌴🚔 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:28+00:00,💙👮🍽 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:28+00:00,💣📎 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:28+00:00,🌎☄️ #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:28+00:00,🏷💰🎰 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:28+00:00,👶😴🚫 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:28+00:00,🤝💼💰 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:27+00:00,💄👠📷 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:27+00:00,🏝🔥💵 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:27+00:00,🐮⚖️ #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:27+00:00,🏠📹📹📹 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:27+00:00,👶💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:26+00:00,💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0
CBS,2018-07-17 17:22:26+00:00,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,0.807,0.0,0.742,0.258
CBS,2018-07-13 21:35:01+00:00,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",0.1139,0.0,0.922,0.078
CBS,2018-07-13 21:15:41+00:00,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",-0.4404,0.132,0.868,0.0
CBS,2018-07-13 17:49:38+00:00,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,0.0,0.0,1.0,0.0
CBS,2018-07-12 01:01:24+00:00,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,0.6514,0.0,0.718,0.282
CBS,2018-07-11 21:44:45+00:00,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",0.5562,0.0,0.826,0.174
CBS,2018-07-11 19:09:34+00:00,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",0.5411,0.0,0.857,0.143
CBS,2018-07-09 23:55:07+00:00,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,0.0,0.0,1.0,0.0
CBS,2018-07-09 18:53:34+00:00,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",-0.3818,0.106,0.894,0.0
CBS,2018-07-09 18:09:00+00:00,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",0.3182,0.0,0.897,0.103
CBS,2018-07-06 22:22:55+00:00,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8",0.4019,0.0,0.847,0.153
CBS,2018-07-06 18:26:37+00:00,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl,0.8622,0.0,0.61,0.39
CBS,2018-07-05 21:12:17+00:00,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,0.3612,0.0,0.898,0.102
CBS,2018-07-02 21:13:11+00:00,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",0.3182,0.0,0.892,0.108
CBS,2018-07-02 20:47:32+00:00,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,0.0,0.0,1.0,0.0
CBS,2018-07-02 17:27:06+00:00,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,0.0,0.0,1.0,0.0
CBS,2018-07-02 17:00:02+00:00,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",0.5411,0.0,0.741,0.259
CBS,2018-06-27 20:31:32+00:00,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,0.0,0.0,1.0,0.0
CBS,2018-06-27 14:00:01+00:00,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",0.7574,0.0,0.711,0.289
CBS,2018-06-25 18:20:25+00:00,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,0.5574,0.0,0.796,0.204
CBS,2018-06-22 21:19:06+00:00,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,0.1867,0.0,0.902,0.098
CBS,2018-06-22 18:33:53+00:00,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",0.4199,0.0,0.811,0.189
CBS,2018-06-21 23:29:50+00:00,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",0.4926,0.0,0.803,0.197
CBS,2018-06-20 00:39:01+00:00,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,0.3555,0.122,0.68,0.199
CBS,2018-06-18 20:27:50+00:00,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,0.0,0.0,1.0,0.0
CBS,2018-06-18 15:00:46+00:00,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,0.0,0.0,1.0,0.0
CBS,2018-06-17 13:00:01+00:00,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",0.9392,0.0,0.507,0.493
